id,post_id,author_id,parent_comment_id,body,created_at,updated_at,deleted_at,version
1188,530,1215,,The 'intro + conclusion only' move is something I've never tried. Will steal.,2026-04-15 06:03:32.244192+00,2026-04-15 06:03:32.244192+00,,0
1189,531,1251,,Recording myself last week was painful but I caught three filler words I had no idea I was saying. Endorse this.,2026-05-03 01:01:30.173862+00,2026-05-03 01:01:30.173862+00,,0
1190,531,1215,,I'm preparing a 10-minute thesis pitch. Will try this tomorrow.,2026-05-02 17:43:39.173862+00,2026-05-02 17:43:39.173862+00,,0
1191,532,1201,,These are the days that compound. Glad you had one.,2026-05-03 12:46:13.779296+00,2026-05-03 12:46:13.779296+00,,0
1192,532,1215,,Saving this for the next time I have a 'why am I doing this' afternoon.,2026-05-02 20:47:06.779296+00,2026-05-02 20:47:06.779296+00,,0
1193,533,1211,,How do you decide which questions to take seriously vs. let go?,2026-04-14 11:22:58.149036+00,2026-04-14 11:22:58.149036+00,,0
1194,533,1215,,Do you revisit it on a schedule or only when stuck?,2026-04-13 08:04:29.149036+00,2026-04-13 08:04:29.149036+00,,0
1195,534,1211,,Needed to hear this today. Got my first rejection yesterday.,2026-05-04 05:58:33.173253+00,2026-05-04 05:58:33.173253+00,,0
1196,534,1215,,How many programs is 'broadly' in your experience — 6? 10?,2026-05-03 21:00:33.173253+00,2026-05-03 21:00:33.173253+00,,0
1197,534,1201,,Same in faculty hiring. Goes the other way too.,2026-05-02 21:35:45.173253+00,2026-05-02 21:35:45.173253+00,,0
1198,535,1222,,This stings but it's the right framing. I've been in 'daydream' mode for a year.,2026-05-04 20:44:03.114869+00,2026-05-04 20:44:03.114869+00,,0
1199,535,1240,,What if you have the problem but not the cofounder yet? Is that 'not ready' or 'still searching'?,2026-05-04 23:22:07.114869+00,2026-05-04 23:22:07.114869+00,,0
1200,535,1203,,Endorse every word. The cofounder question is the one nobody wants to sit with.,2026-05-05 11:41:50.114869+00,2026-05-05 11:41:50.114869+00,,0
1201,536,1229,,We just instituted monthly tabletops last quarter. Already paid for itself once.,2026-04-07 11:39:13.94251+00,2026-04-07 11:39:13.94251+00,,0
1202,536,1195,,The 'false comfort' framing is exactly right. So many teams hide behind unread runbooks.,2026-04-08 08:31:18.94251+00,2026-04-08 08:31:18.94251+00,,0
1203,536,1202,,Do you keep them in the repo with the service or in a wiki?,2026-04-07 05:34:56.94251+00,2026-04-07 05:34:56.94251+00,,0
1204,537,1229,,Was this the change that affected the dynamo backend specifically or all backends?,2026-04-24 19:33:48.757008+00,2026-04-24 19:33:48.757008+00,,0
1205,537,1195,,Quiet wins are the best wins. Tools that just work better month over month.,2026-04-25 07:17:34.757008+00,2026-04-25 07:17:34.757008+00,,0
1206,538,1229,,"This is the conversation I've been trying to have with leadership for a year. They want the metric, not the underlying thing.",2026-04-17 16:31:42.426797+00,2026-04-17 16:31:42.426797+00,,0
1207,538,1206,,Speed-as-a-side-effect-of-trust is a banger framing.,2026-04-15 00:52:13.426797+00,2026-04-15 00:52:13.426797+00,,0
1208,539,1195,,Hard agree. Burnout is more expensive than a Saturday alert.,2026-04-28 06:27:52.008893+00,2026-04-28 06:27:52.008893+00,,0
1209,539,1229,,Stealing this for my own team.,2026-04-28 05:11:42.008893+00,2026-04-28 05:11:42.008893+00,,0
1210,540,1229,,Any tool you'd start with for someone coming in cold?,2026-04-27 05:47:37.459249+00,2026-04-27 05:47:37.459249+00,,0
1211,540,1201,,Agree completely. The security observability use case is also underrated.,2026-04-25 22:27:59.459249+00,2026-04-25 22:27:59.459249+00,,0
1212,541,1217,,This is exactly how my interview at a security firm went sideways — I gave the vague answer. Won't make that mistake again.,2026-05-05 09:38:04.128243+00,2026-05-05 09:38:04.128243+00,,0
1213,541,1200,,The 'next 90 days' time horizon is what most people miss. Security is always bounded.,2026-05-05 18:33:33.128243+00,2026-05-05 18:33:33.128243+00,,0
1214,541,1195,,Same principle in reliability: 'is this reliable' is the wrong question without 'against what failure modes.',2026-05-06 11:22:04.128243+00,2026-05-06 11:22:04.128243+00,,0
1215,542,1217,,Is there a particular detection engineering resource you'd recommend for OT specifically?,2026-04-12 09:46:52.198406+00,2026-04-12 09:46:52.198406+00,,0
1216,542,1200,,Same trend in IT. We're updating our SIEM rules to weight recon-stage indicators much higher.,2026-04-13 06:17:50.198406+00,2026-04-13 06:17:50.198406+00,,0
1217,543,1217,,The vendor pitches in this space are particularly bad. They make CEOs think it's a product they can buy.,2026-04-27 08:25:55.910922+00,2026-04-27 08:25:55.910922+00,,0
1218,543,1207,,Saving — preparing for an architecture review next month and was going to use the loaded phrase.,2026-04-27 11:39:18.910922+00,2026-04-27 11:39:18.910922+00,,0
1219,544,1198,,This is the kind of perspective you only get outside Istanbul. Glad you have it nearby.,2026-04-30 17:47:35.843749+00,2026-04-30 17:47:35.843749+00,,0
1220,544,1217,,Saving this framing. The threat changes faster than the architecture — that's all of security.,2026-04-29 14:07:24.843749+00,2026-04-29 14:07:24.843749+00,,0
1221,545,1246,,This is exactly the conversation I've been avoiding having with myself for six months.,2026-04-05 00:15:43.053228+00,2026-04-05 00:15:43.053228+00,,0
1222,545,1195,,The dopamine framing is correct. The first year of my management was a low-grade craving.,2026-04-04 05:51:30.053228+00,2026-04-04 05:51:30.053228+00,,0
1223,545,1200,,"Endorsed. Best advice I got was 'find new sources of satisfaction, not just substitute the old.'",2026-04-04 14:53:51.053228+00,2026-04-04 14:53:51.053228+00,,0
1224,546,1195,,Zero cancellations in a week is the management equivalent of a green build.,2026-04-20 18:03:22.278936+00,2026-04-20 18:03:22.278936+00,,0
1225,546,1200,,Hard agree. The 1:1s being kept is the lagging indicator of a healthy team.,2026-04-20 12:14:33.278936+00,2026-04-20 12:14:33.278936+00,,0
1226,547,1222,,We tried to tell three stories in our first meetings and bombed. Pivoted to one and it worked. Painful lesson.,2026-04-19 17:21:08.880674+00,2026-04-19 17:21:08.880674+00,,0
1227,547,1199,,The 'before the first meeting' part is what people miss. They iterate inside meetings and burn relationships.,2026-04-18 22:27:39.880674+00,2026-04-18 22:27:39.880674+00,,0
1228,547,1240,,Any framework for picking which story? Or is it just gut?,2026-04-18 13:00:52.880674+00,2026-04-18 13:00:52.880674+00,,0
1229,548,1222,,"Same — the technology dates instantly, the founder loneliness never does.",2026-04-11 08:09:20.977815+00,2026-04-11 08:09:20.977815+00,,0
1230,548,1199,,I re-read Jessica's interviews from that book every year. They hit differently as you grow.,2026-04-12 08:17:22.977815+00,2026-04-12 08:17:22.977815+00,,0
1231,549,1229,,Watching this fail in real-time at the company I just left. They keep hiring AEs to fix a self-serve problem.,2026-04-23 11:18:22.005181+00,2026-04-23 11:18:22.005181+00,,0
1232,549,1199,,"Bottom-up first is right. Even if your buyer is the CTO, the dev has to like it first.",2026-04-23 23:59:51.005181+00,2026-04-23 23:59:51.005181+00,,0
1233,550,1199,,This is the most honest thing on this feed. Thank you.,2026-04-08 02:57:15.422529+00,2026-04-08 02:57:15.422529+00,,0
1234,550,1240,,Saving this. The bathroom-ten-minutes is undocumented founder canon.,2026-04-07 23:00:34.422529+00,2026-04-07 23:00:34.422529+00,,0
1235,550,1222,,The 'two hours later' part is the founder skill. Not the not-crying.,2026-04-09 04:31:50.422529+00,2026-04-09 04:31:50.422529+00,,0
1236,551,1246,,This reframes the conversation in a really useful way. Going to use this in code review tomorrow.,2026-05-04 09:05:52.356075+00,2026-05-04 09:05:52.356075+00,,0
1237,551,1195,,Behaviour location is the underrated lens. Most architecture pain is misplaced behaviour.,2026-05-04 18:33:51.356075+00,2026-05-04 18:33:51.356075+00,,0
1238,551,1202,,Endorse. The maintenance cost lens makes the abstract pattern arguments productive.,2026-05-04 00:16:35.356075+00,2026-05-04 00:16:35.356075+00,,0
1239,552,1195,,Saving for next time we hit one. The auto-config debugging story has been a pain point for years.,2026-05-09 04:54:13.535587+00,2026-05-09 04:54:13.535587+00,,0
1240,552,1246,,Is this configurable per-profile or always-on?,2026-05-08 09:39:40.535587+00,2026-05-08 09:39:40.535587+00,,0
1241,553,1202,,"Üsküdar agrees. Quiet neighbourhoods make better engineers, I'm convinced.",2026-05-01 10:30:26.276597+00,2026-05-01 10:30:26.276597+00,,0
1242,553,1195,,Maltepe nods to Pendik. Solidarity from the Asian side.,2026-05-01 19:46:32.276597+00,2026-05-01 19:46:32.276597+00,,0
1243,554,1220,,This is a much more useful frame than the academic one I learned in school. Going to use this.,2026-05-03 15:06:06.974025+00,2026-05-03 15:06:06.974025+00,,0
1244,554,1198,,Defensibility-as-the-real-goal is exactly right. The explainability literature often misses this.,2026-05-03 02:34:40.974025+00,2026-05-03 02:34:40.974025+00,,0
1245,554,1195,,The override process is the part most papers ignore. Where the real risk lives.,2026-05-04 11:45:28.974025+00,2026-05-04 11:45:28.974025+00,,0
1246,555,1220,,Our inventory exercise has been going on for three months. Painful but illuminating.,2026-05-06 05:09:23.636871+00,2026-05-06 05:09:23.636871+00,,0
1247,555,1198,,The 'start with GenAI use cases' advice is non-obvious but correct — that's where most institutions are weakest.,2026-05-06 07:38:33.636871+00,2026-05-06 07:38:33.636871+00,,0
1248,556,1220,,Watching this fail at my org in real-time. The pre-deployment forcing function is the lesson.,2026-04-17 05:27:06.276694+00,2026-04-17 05:27:06.276694+00,,0
1249,556,1198,,"True in academia too — write the methods section before the experiments, not after.",2026-04-18 15:31:26.276694+00,2026-04-18 15:31:26.276694+00,,0
1250,557,1198,,The fishermen are the meditation.,2026-05-04 00:35:31.704704+00,2026-05-04 00:35:31.704704+00,,0
1251,557,1220,,"I needed this image today, thank you.",2026-05-03 14:49:07.704704+00,2026-05-03 14:49:07.704704+00,,0
1252,558,1243,,This rubric is exactly what I've been missing in self-assessment. Going to rewrite my recent case study tonight.,2026-05-02 12:50:48.555653+00,2026-05-02 12:50:48.555653+00,,0
1253,558,1197,,Translates one-to-one to engineering portfolios. The context-sensitive metric is the senior move.,2026-05-01 10:29:09.555653+00,2026-05-01 10:29:09.555653+00,,0
1254,558,1199,,Founders read these too. The third type is the only one that lands with us.,2026-05-02 13:37:12.555653+00,2026-05-02 13:37:12.555653+00,,0
1255,559,1243,,Started using it last month. The brand-flex use case is the killer. Wish I'd known sooner.,2026-04-25 13:15:30.281392+00,2026-04-25 13:15:30.281392+00,,0
1256,559,1219,,Any teaching resources you recommend? I keep getting confused on the modes.,2026-04-25 09:58:55.281392+00,2026-04-25 09:58:55.281392+00,,0
1257,560,1243,,"Endorse. I work somewhere where design systems are treated as the deliverable, not the means. Everyone is busy and nothing ships.",2026-04-30 16:33:42.156888+00,2026-04-30 16:33:42.156888+00,,0
1258,560,1197,,"Production has the same trap with project management methodologies. Tool, not strategy.",2026-04-30 15:12:49.156888+00,2026-04-30 15:12:49.156888+00,,0
1259,560,1199,,"Same with sales playbooks. Tool, not strategy. The pattern repeats.",2026-05-01 08:23:02.156888+00,2026-05-01 08:23:02.156888+00,,0
1260,561,1197,,Slowness is the point. This is the move.,2026-04-11 02:47:31.047662+00,2026-04-11 02:47:31.047662+00,,0
1261,561,1198,,I haven't made manti in years. Reminded now.,2026-04-11 14:31:23.047662+00,2026-04-11 14:31:23.047662+00,,0
1262,562,1243,,This is the conversation our design team avoids. Our critiques are validation theater.,2026-05-09 08:13:38.738309+00,2026-05-09 08:13:38.738309+00,,0
1263,562,1202,,Same trap in engineering review. The structured conversation is the skill.,2026-05-10 01:37:53.738309+00,2026-05-10 01:37:53.738309+00,,0
1264,563,1243,,On my list. Did you read the revised edition?,2026-04-21 05:41:02.708569+00,2026-04-21 05:41:02.708569+00,,0
1265,563,1198,,The 'fundamentals haven't changed' line lands. Every field has this.,2026-04-19 15:37:40.708569+00,2026-04-19 15:37:40.708569+00,,0
1266,564,1197,,Erzurum's mountains are different than yours but the principle is identical.,2026-05-05 06:48:29.813579+00,2026-05-05 06:48:29.813579+00,,0
1267,564,1198,,Tuesdays — the most Istanbul day of the week. Hard to articulate why.,2026-05-05 02:19:04.813579+00,2026-05-05 02:19:04.813579+00,,0
1268,564,1199,,"Izmir doesn't miss it ever, but I respect the honesty.",2026-05-06 02:03:06.813579+00,2026-05-06 02:03:06.813579+00,,0
1269,565,1200,,I say it once a session for the first month and then never again. We'll get there.,2026-05-06 22:34:55.748364+00,2026-05-06 22:34:55.748364+00,,0
1270,565,1216,,"Same trap with me, different label. Took me half a year to drop it.",2026-05-05 20:01:57.748364+00,2026-05-05 20:01:57.748364+00,,0
1271,566,1229,,180MB is a great result for a first try. The layer caching docs are honestly bad — most of us learn it by breaking it.,2026-05-01 21:02:23.892754+00,2026-05-01 21:02:23.892754+00,,0
1272,566,1200,,You'll have an even better moment when you discover BuildKit cache mounts. Save that for next week.,2026-05-03 02:18:14.892754+00,2026-05-03 02:18:14.892754+00,,0
1273,567,1205,,It's true. The hardest hires for responsible AI teams are people who can read philosophy carefully and explain it to engineers.,2026-04-23 01:34:44.07981+00,2026-04-23 01:34:44.07981+00,,0
1274,567,1220,,Going to use this reframe for myself too. The 'not technical' worry is universal.,2026-04-21 03:17:31.07981+00,2026-04-21 03:17:31.07981+00,,0
1275,567,1198,,"Philosophers do close reading the way engineers do debugging. Same skill, different artifact.",2026-04-21 06:56:00.07981+00,2026-04-21 06:56:00.07981+00,,0
1276,568,1200,,Service works > model is good is the right order to learn this. Now make it observable.,2026-05-05 18:48:57.639813+00,2026-05-05 18:48:57.639813+00,,0
1277,568,1230,,"Same path I took. The bad model gets better, the deployment skill compounds.",2026-05-06 22:14:00.639813+00,2026-05-06 22:14:00.639813+00,,0
1278,569,1200,,"Right order: failure modes first, features second. Stick with that mentor.",2026-04-15 23:46:28.619079+00,2026-04-15 23:46:28.619079+00,,0
1279,569,1230,,I learned this lesson by getting paged. Cheaper to learn it from a mentor.,2026-04-14 10:02:49.619079+00,2026-04-14 10:02:49.619079+00,,0
1280,570,1197,,The tutorials lie because they were written by people who already knew. Your write-up will help more people than you think.,2026-04-30 08:06:18.728295+00,2026-04-30 08:06:18.728295+00,,0
1281,570,1248,,Will read. Flutter side has the same problem. Tutorials skip the boring fixes.,2026-05-01 04:27:56.728295+00,2026-05-01 04:27:56.728295+00,,0
1282,571,1197,,These tiny moments are the actual progress. The big ones are usually breakthroughs that depend on a hundred of these.,2026-05-09 01:12:02.870751+00,2026-05-09 01:12:02.870751+00,,0
1283,571,1219,,Flutter equivalent for me was StatelessWidget vs StatefulWidget. Same feeling.,2026-05-08 08:22:25.870751+00,2026-05-08 08:22:25.870751+00,,0
1284,572,1197,,Erzurum kid solidarity. The cold makes the focus better.,2026-05-07 06:19:02.371677+00,2026-05-07 06:19:02.371677+00,,0
1285,572,1198,,Cozy work setups are an underrated career advantage.,2026-05-06 10:19:10.371677+00,2026-05-06 10:19:10.371677+00,,0
1286,573,1197,,Yep. Mixed UIKit/SwiftUI codebases are the median you'll join. Better to know both.,2026-04-25 01:06:24.146076+00,2026-04-25 01:06:24.146076+00,,0
1287,573,1219,,Saving — Flutter side has the same dual-knowledge problem.,2026-04-25 00:31:05.146076+00,2026-04-25 00:31:05.146076+00,,0
1288,574,1198,,Iteration four will already be unrecognizable from draft one. That's the point of the process.,2026-05-10 12:12:11.53914+00,2026-05-10 12:12:11.53914+00,,0
1289,574,1215,,Reading your journey with mine. The 'describing not arguing' note hits home.,2026-05-08 12:10:57.53914+00,2026-05-08 12:10:57.53914+00,,0
1290,574,1222,,"How many drafts does it usually take, in your experience?",2026-05-09 00:05:21.53914+00,2026-05-09 00:05:21.53914+00,,0
1291,575,1198,,Your mom's belief is worth more than any letter of recommendation. Never forget that.,2026-04-30 22:09:41.193925+00,2026-04-30 22:09:41.193925+00,,0
1292,575,1215,,Going through this exact thing with my dad.,2026-04-30 05:03:34.193925+00,2026-04-30 05:03:34.193925+00,,0
1293,575,1226,,First-gen solidarity. The translation never gets easier but the support is real.,2026-05-01 19:44:34.193925+00,2026-05-01 19:44:34.193925+00,,0
1294,576,1198,,Methodology > implementation in writing time is the universal law of research. Welcome to the club.,2026-04-28 00:05:07.973016+00,2026-04-28 00:05:07.973016+00,,0
1295,576,1215,,Saving for when I hit the same wall on my thesis.,2026-04-29 10:05:55.973016+00,2026-04-29 10:05:55.973016+00,,0
1296,577,1235,,Small multiples are underused in fintech. The candlestick default is laziness most of the time.,2026-04-12 00:49:51.124013+00,2026-04-12 00:49:51.124013+00,,0
1297,577,1224,,Curious which library — Plotly or pure matplotlib?,2026-04-11 19:49:12.124013+00,2026-04-11 19:49:12.124013+00,,0
1298,577,1218,,The visualization is the analysis is the whole point. Saving.,2026-04-13 16:43:05.124013+00,2026-04-13 16:43:05.124013+00,,0
1299,578,1235,,This is the discipline. Most analysts ship charts that have no claim.,2026-04-25 10:17:04.275838+00,2026-04-25 10:17:04.275838+00,,0
1300,578,1196,,"Same in marketing dashboards. The narrative is the deliverable, the chart is the receipt.",2026-04-27 12:33:50.275838+00,2026-04-27 12:33:50.275838+00,,0
1301,579,1235,,Şişli lunch is a personality test you can fail.,2026-05-08 19:52:38.968134+00,2026-05-08 19:52:38.968134+00,,0
1302,579,1242,,Solidarity from another Şişli walker. Try the place behind Cevahir.,2026-05-10 23:05:12.968134+00,2026-05-10 23:05:12.968134+00,,0
1303,580,1205,,This is the work. The guardrails-take-longer-than-the-product law applies to every responsible AI deployment.,2026-04-21 19:52:57.330336+00,2026-04-21 19:52:57.330336+00,,0
1304,580,1220,,Are you going to write up the seven prompts? Would be useful for the chatbot people who haven't done this exercise.,2026-04-21 01:14:31.330336+00,2026-04-21 01:14:31.330336+00,,0
1305,580,1208,,Same trajectory as my thesis. The naivety in 'just deploy it' is dangerous.,2026-04-19 05:56:25.330336+00,2026-04-19 05:56:25.330336+00,,0
1306,581,1205,,That question is the whole career. Glad we started there.,2026-03-11 07:11:10.125276+00,2026-03-11 07:11:10.125276+00,,0
1307,581,1220,,Saving the framing for my own first sessions.,2026-03-09 04:39:10.125276+00,2026-03-09 04:39:10.125276+00,,0
1308,582,1219,,Kartal sunsets are underrated. Marina solidarity.,2026-04-23 00:07:04.99853+00,2026-04-23 00:07:04.99853+00,,0
1309,582,1221,,I do the same walk after my QA classes. Distance helps.,2026-04-24 12:07:11.99853+00,2026-04-24 12:07:11.99853+00,,0
1310,583,1197,,Both can be true. Personal narrative games are the best demonstration of design literacy.,2026-04-11 04:40:20.290276+00,2026-04-11 04:40:20.290276+00,,0
1311,583,1219,,Sending the link to my partner. Twenty minutes of crying-game material is the rate niche.,2026-04-12 05:29:58.290276+00,2026-04-12 05:29:58.290276+00,,0
1312,583,1206,,The personal Bitsy is harder than it looks. Most people don't get past the editor.,2026-04-11 15:46:53.290276+00,2026-04-11 15:46:53.290276+00,,0
1313,584,1197,,Small games ship. Big games crunch. Bias toward smallness early.,2026-04-26 16:04:07.417605+00,2026-04-26 16:04:07.417605+00,,0
1314,584,1206,,Saving. Same principle in design portfolios — small artifacts compound.,2026-04-24 19:19:46.417605+00,2026-04-24 19:19:46.417605+00,,0
1315,585,1211,,162Q is a strong start. Verbal compounds slowly but it compounds — daily reading is correct.,2026-05-07 16:08:46.314347+00,2026-05-07 16:08:46.314347+00,,0
1316,585,1198,,Verbal is the slow burn. Don't expect a jump for six weeks.,2026-05-09 09:31:43.314347+00,2026-05-09 09:31:43.314347+00,,0
1317,585,1222,,On the same prep journey. Solidarity from a different field.,2026-05-07 23:15:49.314347+00,2026-05-07 23:15:49.314347+00,,0
1318,586,1211,,Saving this perspective for application-stress days.,2026-04-29 17:49:13.11928+00,2026-04-29 17:49:13.11928+00,,0
1319,586,1198,,The geography reminds you the clock is shorter than you think.,2026-04-29 23:26:33.11928+00,2026-04-29 23:26:33.11928+00,,0
1320,587,1198,,"Right priority order. The GRE is a filter, the statement is the choice.",2026-04-15 02:52:54.811352+00,2026-04-15 02:52:54.811352+00,,0
1321,587,1211,,Same conversation in my session. The mentor was very firm about it.,2026-04-16 18:28:38.811352+00,2026-04-16 18:28:38.811352+00,,0
1322,588,1211,,Anki is the friend. SRS works.,2026-04-24 20:36:14.720019+00,2026-04-24 20:36:14.720019+00,,0
1323,588,1198,,Targeted vocabulary > general reading is the right diagnostic.,2026-04-24 03:10:17.720019+00,2026-04-24 03:10:17.720019+00,,0
1324,589,1196,,Yes — and the second framing is more accurate. Teaching is a communication craft.,2026-04-04 21:29:56.349674+00,2026-04-04 21:29:56.349674+00,,0
1325,589,1207,,Going to use the same reframe for my own switch. Thank you.,2026-04-04 17:38:13.349674+00,2026-04-04 17:38:13.349674+00,,0
1326,589,1226,,The framing matters more than the courses. Career switchers underestimate this.,2026-04-04 00:00:41.349674+00,2026-04-04 00:00:41.349674+00,,0
1327,590,1207,,This shift is the whole career change. Going from 'doing the tutorial' to 'asking your own question' is everything.,2026-03-26 18:46:03.155619+00,2026-03-26 18:46:03.155619+00,,0
1328,590,1247,,Same path. The first 'my own query' feels like cheating until you realize it isn't.,2026-03-25 20:18:51.155619+00,2026-03-25 20:18:51.155619+00,,0
1329,591,1207,,The no-commute morning is the underrated benefit of the switch. Reclaiming the hour.,2026-04-25 20:18:03.892402+00,2026-04-25 20:18:03.892402+00,,0
1330,591,1224,,Same situation. Coffee at home > coffee in transit.,2026-04-25 17:22:54.892402+00,2026-04-25 17:22:54.892402+00,,0
1331,592,1196,,"Real projects > Kaggle, every time. Saving the food-cost example.",2026-05-03 08:15:16.109779+00,2026-05-03 08:15:16.109779+00,,0
1332,592,1207,,Inspired to find a similar friend-project.,2026-05-04 09:16:37.109779+00,2026-05-04 09:16:37.109779+00,,0
1333,593,1201,,Reinvesting the bounty into HTB is the move. Compound the practice. Good work.,2026-04-24 15:07:18.909925+00,2026-04-24 15:07:18.909925+00,,0
