id,mentor_id,mentee_id,request_id,start_date,end_date,duration,status,shared_goal,created_at,terminated_at,terminated_by_user_id,cancellation_reason,updated_at
46,1203,1244,46,2025-11-15 00:00:00+00,2026-02-13 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-11-15 00:00:00+00,,,,2025-11-15 00:00:00
47,1204,1230,47,2025-09-27 00:00:00+00,2025-10-27 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-09-27 00:00:00+00,,,,2025-09-27 00:00:00
48,1204,1214,48,2025-04-22 00:00:00+00,2025-07-21 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-04-22 00:00:00+00,,,,2025-04-22 00:00:00
49,1204,1247,49,2025-05-01 00:00:00+00,2025-07-30 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-05-01 00:00:00+00,,,,2025-05-01 00:00:00
50,1205,1261,50,2025-10-28 00:00:00+00,2026-04-26 00:00:00+00,6,COMPLETED,(historical record — concluded successfully),2025-10-28 00:00:00+00,,,,2025-10-28 00:00:00
51,1206,1238,51,2025-03-06 00:00:00+00,2025-04-05 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-03-06 00:00:00+00,,,,2025-03-06 00:00:00
52,1206,1265,52,2025-12-22 00:00:00+00,2026-01-21 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-12-22 00:00:00+00,,,,2025-12-22 00:00:00
53,1257,1254,53,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2026-02-16 00:00:00+00,,,,2026-02-16 00:00:00
54,1258,1252,54,2025-01-31 00:00:00+00,2025-03-02 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-01-31 00:00:00+00,,,,2025-01-31 00:00:00
55,1258,1230,55,2025-05-04 00:00:00+00,2025-06-03 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-05-04 00:00:00+00,,,,2025-05-04 00:00:00
56,1258,1211,56,2025-05-09 00:00:00+00,2025-08-07 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-05-09 00:00:00+00,,,,2025-05-09 00:00:00
57,1270,1231,57,2026-01-20 00:00:00+00,2026-02-19 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2026-01-20 00:00:00+00,,,,2026-01-20 00:00:00
58,1270,1227,58,2026-02-21 00:00:00+00,2026-03-23 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2026-02-21 00:00:00+00,,,,2026-02-21 00:00:00
59,1270,1243,59,2025-09-12 00:00:00+00,2025-10-12 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-09-12 00:00:00+00,,,,2025-09-12 00:00:00
60,1268,1236,60,2025-08-30 00:00:00+00,2025-09-29 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-08-30 00:00:00+00,,,,2025-08-30 00:00:00
61,1268,1245,61,2025-07-25 00:00:00+00,2025-10-23 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-07-25 00:00:00+00,,,,2025-07-25 00:00:00
62,1269,1209,62,2025-06-07 00:00:00+00,2025-09-05 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-06-07 00:00:00+00,,,,2025-06-07 00:00:00
63,1269,1238,63,2025-04-02 00:00:00+00,2025-09-29 00:00:00+00,6,COMPLETED,(historical record — concluded successfully),2025-04-02 00:00:00+00,,,,2025-04-02 00:00:00
64,1271,1211,64,2026-02-05 00:00:00+00,2026-03-07 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2026-02-05 00:00:00+00,,,,2026-02-05 00:00:00
65,1271,1247,65,2025-11-18 00:00:00+00,2026-02-16 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-11-18 00:00:00+00,,,,2025-11-18 00:00:00
66,1195,1251,66,2025-06-09 00:00:00+00,2025-12-06 00:00:00+00,6,COMPLETED,(historical record — concluded successfully),2025-06-09 00:00:00+00,,,,2025-06-09 00:00:00
67,1196,1227,67,2025-08-20 00:00:00+00,2025-09-19 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-08-20 00:00:00+00,,,,2025-08-20 00:00:00
68,1198,1251,68,2025-12-07 00:00:00+00,2026-01-06 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-12-07 00:00:00+00,,,,2025-12-07 00:00:00
69,1199,1230,69,2025-05-11 00:00:00+00,2025-06-10 00:00:00+00,1,COMPLETED,(historical record — concluded successfully),2025-05-11 00:00:00+00,,,,2025-05-11 00:00:00
70,1203,1248,70,2025-08-14 00:00:00+00,2025-11-12 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-08-14 00:00:00+00,,,,2025-08-14 00:00:00
71,1205,1219,71,2025-04-20 00:00:00+00,2025-07-19 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-04-20 00:00:00+00,,,,2025-04-20 00:00:00
72,1255,1225,72,2025-08-11 00:00:00+00,2025-11-09 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-08-11 00:00:00+00,,,,2025-08-11 00:00:00
73,1255,1238,73,2025-12-13 00:00:00+00,2026-03-13 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-12-13 00:00:00+00,,,,2025-12-13 00:00:00
74,1256,1212,74,2025-08-27 00:00:00+00,2026-02-23 00:00:00+00,6,COMPLETED,(historical record — concluded successfully),2025-08-27 00:00:00+00,,,,2025-08-27 00:00:00
75,1256,1250,75,2025-06-24 00:00:00+00,2025-09-22 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-06-24 00:00:00+00,,,,2025-06-24 00:00:00
76,1257,1265,76,2025-04-11 00:00:00+00,2025-07-10 00:00:00+00,3,COMPLETED,(historical record — concluded successfully),2025-04-11 00:00:00+00,,,,2025-04-11 00:00:00
