id,mentorship_id,title,description,start_time,end_time,status,meeting_link,meeting_type,is_recurring,recurrence_rule,created_by_id,confirmed_at,confirmation_deadline,notes,notes_updated_at,notes_updated_by_id,created_at
73,25,Kick-off + question framing,,2026-04-16 00:00:00+00,2026-04-16 01:15:00+00,COMPLETED,,VIRTUAL,f,,1198,2026-04-16 00:00:00+00,,"Spent the whole session on the one-sentence question. Mina's first try had three subordinate clauses. By the end, single sentence, single commitment. The statement will hang from this.",2026-04-16 01:15:00+00,1198,2026-04-15 00:00:00+00
74,25,Draft review #1,,2026-04-24 00:00:00+00,2026-04-24 01:00:00+00,COMPLETED,,VIRTUAL,f,,1198,2026-04-24 00:00:00+00,,Walked through drafts 1-3. Middle paragraphs are strong; opening was descriptive. Concrete edit list sent. Mina to rewrite opening for next week.,2026-04-24 01:00:00+00,1198,2026-04-15 00:00:00+00
75,25,Draft review #2,,2026-05-03 00:00:00+00,2026-05-03 00:45:00+00,COMPLETED,,VIRTUAL,f,,1198,2026-05-03 00:00:00+00,,Opening rewritten. Confidence is right; structure now flows. Discussed the conclusion's technique list — cut to two.,2026-05-03 00:45:00+00,1198,2026-04-15 00:00:00+00
76,25,Advisor shortlist working session,,2026-05-18 00:00:00+00,2026-05-18 01:00:00+00,CONFIRMED,,VIRTUAL,f,,1198,2026-05-18 00:00:00+00,,,,,2026-04-15 00:00:00+00
77,25,Writing routine check-in,,2026-06-01 00:00:00+00,2026-06-01 00:30:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1198,,,,,,2026-04-15 00:00:00+00
78,26,Kick-off,,2026-04-19 00:00:00+00,2026-04-19 01:00:00+00,COMPLETED,,VIRTUAL,f,,1200,2026-04-19 00:00:00+00,,Set expectations. Zeynep to stop apologizing in introductions. Focused project: build and operate a small ECS service. Exam booked for August.,2026-04-19 01:00:00+00,1200,2026-04-18 00:00:00+00
79,26,Docker review,,2026-04-29 00:00:00+00,2026-04-29 00:45:00+00,COMPLETED,,VIRTUAL,f,,1200,2026-04-29 00:00:00+00,,Walked through the multi-stage build. Image size win is real. Observability is the next step. Zeynep to add CloudWatch metrics by next session.,2026-04-29 00:45:00+00,1200,2026-04-18 00:00:00+00
80,26,Mock exam debrief,,2026-05-08 00:00:00+00,2026-05-08 00:45:00+00,COMPLETED,,VIRTUAL,f,,1200,2026-05-08 00:00:00+00,,Score 68%. Bottlenecks: VPC peering and IAM policy debugging. Two focused weeks on labs. Reading-without-doing officially banned.,2026-05-08 00:45:00+00,1200,2026-04-18 00:00:00+00
81,26,VPC lab review,,2026-05-23 00:00:00+00,2026-05-23 01:00:00+00,CONFIRMED,,VIRTUAL,f,,1200,2026-05-23 00:00:00+00,,,,,2026-04-18 00:00:00+00
82,26,Cert + platform handoff,,2026-06-17 00:00:00+00,2026-06-17 01:15:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1200,,,,,,2026-04-18 00:00:00+00
83,27,Kick-off + reset,,2026-03-25 00:00:00+00,2026-03-25 01:30:00+00,COMPLETED,,VIRTUAL,f,,1201,2026-03-25 00:00:00+00,,"Cihan came in CTF-hot. I deliberately slowed him down: no CTFs for the first month, twenty reports to read. He resisted for three minutes and then agreed.",2026-03-25 01:30:00+00,1201,2026-03-24 00:00:00+00
84,27,Reading-debrief and OSCP planning,,2026-04-19 00:00:00+00,2026-04-19 01:15:00+00,COMPLETED,,VIRTUAL,f,,1201,2026-04-19 00:00:00+00,,"Twenty done. Pattern recognition is now there. Discussed the OSCP timeline — month four, not month two. Cihan agreed when I showed him the failure rate stats for under-prepared candidates.",2026-04-19 01:15:00+00,1201,2026-03-24 00:00:00+00
85,27,Bug report v1 review,,2026-05-03 00:00:00+00,2026-05-03 01:00:00+00,COMPLETED,,VIRTUAL,f,,1201,2026-05-03 00:00:00+00,,Read his first formal report. Findings section was solid. Disclosure timeline section needed structure. Sent him a template; he'll redo before next session.,2026-05-03 01:00:00+00,1201,2026-03-24 00:00:00+00
86,27,Lab session: writing-as-discipline,,2026-05-20 00:00:00+00,2026-05-20 01:30:00+00,CONFIRMED,,VIRTUAL,f,,1201,2026-05-20 00:00:00+00,,,,,2026-03-24 00:00:00+00
87,27,OSCP mid-prep checkpoint,,2026-07-12 00:00:00+00,2026-07-12 01:00:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1201,,,,,,2026-03-24 00:00:00+00
88,28,Kick-off + cycle design,,2026-03-15 00:00:00+00,2026-03-15 01:00:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-03-15 00:00:00+00,,Set the two-week cycle: ADR weeks alternate with code-review weeks. Rıza agreed quickly. Sent the first decision exercise that evening.,2026-03-15 01:00:00+00,1271,2026-03-14 00:00:00+00
89,28,ADR #1 debrief,,2026-03-20 00:00:00+00,2026-03-20 01:15:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-03-20 00:00:00+00,,"Walked the pagination ADR together. Rıza landed at cursor-based, same as we did. He missed the snapshot-version fingerprint for staleness — that's the kind of detail you only know after debugging an incident. Annotated PDF sent. Good first exercise.",2026-03-20 01:15:00+00,1271,2026-03-14 00:00:00+00
90,28,Code review session,,2026-03-27 00:00:00+00,2026-03-27 01:00:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-03-27 00:00:00+00,,"Reviewed Rıza's feed component. Three weak spots: error boundary placement, retry policy duplication, and a hidden re-render in a list cell. He saw two of the three immediately when prompted. Sent specific commits to study.",2026-03-27 01:00:00+00,1271,2026-03-14 00:00:00+00
91,28,ADR #2 debrief,,2026-04-04 00:00:00+00,2026-04-04 01:15:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-04-04 00:00:00+00,,Caching ADR was weaker. Rıza picked hybrid without justifying it. We rebuilt the reasoning together. He admitted he'd hand-waved the failure modes. Brutal-and-useful. He took the annotations well.,2026-04-04 01:15:00+00,1271,2026-03-14 00:00:00+00
92,28,Refactor planning,,2026-04-22 00:00:00+00,2026-04-22 01:30:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-04-22 00:00:00+00,,"Walked through the state-management refactor scope. Rıza wanted to do it all at once. We negotiated to two phases. He'll write the ADR first, then ship phase 1 in a week.",2026-04-22 01:30:00+00,1271,2026-03-14 00:00:00+00
93,28,Refactor review,,2026-05-10 00:00:00+00,2026-05-10 01:00:00+00,COMPLETED,,VIRTUAL,f,,1271,2026-05-10 00:00:00+00,,"Reviewed the refactored state management. Cleaner. Two of my line-comments became commits within 48 hours. Rıza is shipping faster than he was, with less drift. Started talking about the leadership-readiness arc for next month.",2026-05-10 01:00:00+00,1271,2026-03-14 00:00:00+00
94,28,Leadership arc kick-off,,2026-05-20 00:00:00+00,2026-05-20 01:00:00+00,CONFIRMED,,VIRTUAL,f,,1271,2026-05-20 00:00:00+00,,,,,2026-03-14 00:00:00+00
95,28,Cross-team meeting rehearsal,,2026-06-01 00:00:00+00,2026-06-01 00:45:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1271,,,,,,2026-03-14 00:00:00+00
96,29,Kick-off and reframing,,2024-10-14 00:00:00+00,2024-10-14 01:00:00+00,COMPLETED,,VIRTUAL,f,,1196,2024-10-14 00:00:00+00,,"Set the rhythm: weekly Wednesday calls, no exceptions. First two weeks dedicated to language patterns, not tactics. Buse to flag every 'pivot' or 'just' in her writing.",2024-10-14 01:00:00+00,1196,2025-04-10 00:00:00+00
97,29,Cover-letter teardown,,2024-11-03 00:00:00+00,2024-11-03 01:15:00+00,COMPLETED,,VIRTUAL,f,,1196,2024-11-03 00:00:00+00,,"Walked the cover letter paragraph by paragraph. Cut 60% of the middle. The sharpened version reads like a candidate, not a former teacher apologizing.",2024-11-03 01:15:00+00,1196,2025-04-10 00:00:00+00
98,29,Interview prep,,2024-12-01 00:00:00+00,2024-12-01 00:45:00+00,COMPLETED,,VIRTUAL,f,,1196,2024-12-01 00:00:00+00,,Two-minute positioning script. Reframed the 'why tech' question as 'why this team'. Buse used the line in the interview and got a callback within 48 hours.,2024-12-01 00:45:00+00,1196,2025-04-10 00:00:00+00
99,29,Wrap and lessons,,2025-01-08 00:00:00+00,2025-01-08 01:00:00+00,COMPLETED,,VIRTUAL,f,,1196,2025-01-08 00:00:00+00,,"Buse accepted the offer. We wrote a one-page wrap doc together: (1) rewrite language before tactics, (2) shortlist by want not need, (3) portfolio = real audits not Kaggle, (4) the apology paragraph is the bug.",2025-01-08 01:00:00+00,1196,2025-04-10 00:00:00+00
100,30,Kick-off,,2024-11-19 00:00:00+00,2024-11-19 01:00:00+00,COMPLETED,,VIRTUAL,f,,1198,2024-11-19 00:00:00+00,,"Set the contract: daily journal, weekly meetings, three months ends in a decision. Defne agreed without negotiation. The clarity was a good sign.",2024-11-19 01:00:00+00,1198,2025-04-01 00:00:00+00
101,30,Journal review month 1,,2024-12-17 00:00:00+00,2024-12-17 01:15:00+00,COMPLETED,,VIRTUAL,f,,1198,2024-12-17 00:00:00+00,,Read entries together. Pattern in the last week: she's noticing her own thinking. Told her so. We mapped the next month's reading list around the questions that recurred in her journal.,2024-12-17 01:15:00+00,1198,2025-04-01 00:00:00+00
102,30,Paper reading session,,2025-01-11 00:00:00+00,2025-01-11 01:30:00+00,COMPLETED,,VIRTUAL,f,,1198,2025-01-11 00:00:00+00,,Worked through the disputed paper line by line. Defne caught two assumptions the authors hid in subordinate clauses. Better reader than she was six weeks ago.,2025-01-11 01:30:00+00,1198,2025-04-01 00:00:00+00
103,30,Next-step debrief,,2025-02-15 00:00:00+00,2025-02-15 01:30:00+00,COMPLETED,,VIRTUAL,f,,1198,2025-02-15 00:00:00+00,,"She wants a long engagement with someone who does both research and policy work. Honest assessment of her temperament: she'd be unhappy in a pure-theory department, well-suited to applied research or policy-research hybrid roles. We mapped three mentor archetypes for her to search for next.",2025-02-15 01:30:00+00,1198,2025-04-01 00:00:00+00
104,30,Wrap + review,,2025-03-02 00:00:00+00,2025-03-02 00:45:00+00,COMPLETED,,VIRTUAL,f,,1198,2025-03-02 00:00:00+00,,Closed the engagement cleanly. Defne left a five-star review. I told her she should feel free to come back in two years if her plans shift. She thanked the daily-journal rule and said it was the most important thing she'd done this year.,2025-03-02 00:45:00+00,1198,2025-04-01 00:00:00+00
105,31,Kick-off and decision contract,,2024-12-24 00:00:00+00,2024-12-24 01:00:00+00,COMPLETED,,VIRTUAL,f,,1199,2024-12-24 00:00:00+00,,"Set the rule: three months ends in a concrete decision. Funda agreed. We mapped the three areas to test: market, cofounder, capacity.",2024-12-24 01:00:00+00,1199,2025-08-19 00:00:00+00
106,31,Discovery debrief,,2025-01-13 00:00:00+00,2025-01-13 01:15:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-01-13 00:00:00+00,,Six honest conversations from Sakarya–Düzce. Real demand for the niche; price sensitivity higher than Funda expected. Market viable; pricing harder than hoped.,2025-01-13 01:15:00+00,1199,2025-08-19 00:00:00+00
107,31,Obituary review,,2025-02-02 00:00:00+00,2025-02-02 01:00:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-02-02 00:00:00+00,,Read the pre-mortem aloud. Funda identified cofounder absence as the dominant kill-mode. Market was second. We made the cofounder search the next month's only task.,2025-02-02 01:00:00+00,1199,2025-08-19 00:00:00+00
108,31,Decision call,,2025-03-02 00:00:00+00,2025-03-02 01:30:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-03-02 00:00:00+00,,"Funda chose shelf-for-a-year. She wants to join a logistics startup as a junior product person, learn the operational side, and re-open the file with a cofounder in 18 months. Honest, mature decision. I told her so.",2025-03-02 01:30:00+00,1199,2025-08-19 00:00:00+00
109,31,Wrap,,2025-03-12 00:00:00+00,2025-03-12 00:45:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-03-12 00:00:00+00,,"Wrote the wrap doc. Lessons: (1) discovery in person beats any deck, (2) cofounder absence is the dominant kill-mode for solo first-timers, (3) shelving is not failing if you've learned the contour of the problem, (4) the next attempt starts with the person, not the idea.",2025-03-12 00:45:00+00,1199,2025-08-19 00:00:00+00
110,32,Kick-off,,2025-03-09 00:00:00+00,2025-03-09 00:45:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-03-09 00:00:00+00,,Set the hard deadline. Defne agreed. We sketched the three exercises.,2025-03-09 00:45:00+00,1199,2025-04-02 00:00:00+00
111,32,Discovery debrief,,2025-03-17 00:00:00+00,2025-03-17 01:00:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-03-17 00:00:00+00,,She hated cold outreach but loved the conversations themselves. Mixed signal — worth probing. Suggested the obituary exercise to surface the dominant failure mode.,2025-03-17 01:00:00+00,1199,2025-04-02 00:00:00+00
112,32,Final call,,2025-03-28 00:00:00+00,2025-03-28 01:00:00+00,COMPLETED,,VIRTUAL,f,,1199,2025-03-28 00:00:00+00,,"Defne concluded: not a founder right now. The day-to-day operational temperament isn't there. Good decision, made fast. Closed cleanly. She didn't leave a written review this time — said she'd reach out again later if her thinking shifted.",2025-03-28 01:00:00+00,1199,2025-04-02 00:00:00+00
